QNUM,CLUS,SELEC,TRLHD,SEASON,PRTYREP,ORIGIN,WEIGHT,TRAVEL,NUMHORS,HORSFED,HRSHNDL,FISH,HUNT,HIKE,NATUR,MTNCLM,RAFT,SWIM,PHOTO,OTHACT,NUMACT,GRIZOBS,BEAROBS,SUMBEAR,ELKOBS,DEEROBS,GOATOBS,MOOSOBS,SHPOBS,OTHROBS,NUMWOBS,SHOT1,SHOT2,SHOT3,STAY,FIRE,OUTFTR,MAPS,TYPMAP,SOLE,VISIT,AGEFST,PARENT,NEWAREA,EXPBOB,NUMBOB,AQUAL,DIFF,LOCCHO,WHOCHO,TIMCHO,TRLINF1,TRLINF2,TRLINF3,RESTRL1,RESTRL2,RESTRL,OTHRTRL,RESREJ1,RESREJ2,FSINFO,FSCONT,QUALINF,NUMVIS,NUMDAYS,SCENRY,FSHIMP,HUNTIMP,RELAX,EXERCZ,ESCAPE,DEVSKL,SOLTUD,CHALNG,AVDMEC,OTHRES,SATIS,HIPT1,HIPT2,HIPT3,LOPT1,LOPT2,LOPT3,SOLSTD,CAMPSOL,ESTCAMP,REJCOND,RESCOND,REJLOC,RESLOC,CMPSRCH,PROBCMP,TYPCMP,CROWD,NUMSEEN,LRGSEEN,HRSSEEN,NUMCMP,VISWLD,WCHWLD,HOWFAR,OFFTRL,LOOP,CRDPROB,CRDSPOT,WEAR,LITTER,WRONG,HITRHL,LOTRAIL,TRLLESS,TREES,SMLBRG,BIGBRG,PRIVY,FRPLC,FRRING,NATFIRE,CORRAL,NOHORSE,NOFIRE,TABLE,RATION,NOGRAZ,REQREG,NATFSH,SZLIMT,FT200,RMVRNG,EXSIGN,BURY,PWRSAW,GUIDBK,ACCMAP,ASSIGN,DNWOOD,FSHEAT,PAKOUT,WLDRNG,METRNG,COMENT,WLDIMP,BESTWLD,BESTREC,AGAIN,SIZE,LITBOY,LITGIRL,BOYS,GIRLS,FELLAS,GALS,MEN,WOMEN,TYPGRP,CLUB,TYPCLUB,NUMCLUB,CURRES,CHLRES,EDUC,STUDNT,OCCUP,FINCMT,MGTCMT,CMPCOD,CMPLIT,HMANUR,BAREGND,CMPREM,FWOODSC,TREEDGD,GRAZSCR,CMPOTHR,CMPLOCN,PORLOCN,WATLOCN,OCCLOCN,TRLLOCN,OTHLOCN
220,11,2,25,1,1,594,100,3,99,9,9,2,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,0,5,1,1,,2,2,10,2,3,1,,,,2,2,,,,,,,,,,,0,1,,0,50,5,1,2,2,1,2,1,2,2,2,1,9,201,0,0,0,900,0,0,0,,,,,,,,,,300,200,0,19,9,9,39,99,9,9,1,,2,1,,2,3,1,2,1,1,1,2,2,1,1,2,1,3,1,1,1,3,1,2,2,3,2,2,3,1,3,1,3,2,1,0,1,3,3,4,3,0,0,1,1,1,0,0,0,2,1,,,4,3,14,1,10,,,,,,,,,,,,,,,,,
221,12,2,42,1,1,596,100,4,9,4,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,7,1,1,1,,1,1,,,,,,,,2,2,5,4,0,0,6,0,0,1,,,1,,,1,8,1,2,3,1,3,2,3,2,2,1,9,2,10,1,4,76,0,0,0,4,3,1,,1,,1,1,1,4,999,999,999,99,2,1,52,0,1,1,,1,1,0,3,3,3,9,9,3,3,9,9,9,3,3,3,9,1,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,2,0,1,4,4,5,4,0,0,1,0,1,0,2,0,2,1,,,4,5,13,1,30,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
223,12,2,42,1,1,594,100,1,,,,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,1,,1,2,3,3,9,1,,,,1,,5,4,0,0,4,0,0,1,,,1,,,2,9,1,3,3,1,1,1,2,1,2,1,9,2,0,0,0,0,0,0,0,1,4,1,,2,9,2,1,1,3,14,1,1,1,9,2,99,99,9,1,,1,1,,3,3,3,3,3,3,1,1,1,4,1,1,2,1,1,3,3,3,3,3,3,3,3,1,3,1,1,1,3,3,1,1,0,1,5,4,5,2,0,0,0,1,1,0,0,0,3,2,6,1,5,1,16,9,10,,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2
224,12,2,42,1,1,594,100,1,,,,2,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,5,1,1,,1,2,8,2,3,2,3,2,,1,,2,1,4,5,2,0,0,1,,,1,,,1,3,1,1,3,2,2,3,3,3,2,3,9,1,10,4,0,9,0,0,0,,,,,,,,,,3,4,0,0,0,2,2,18,0,1,1,,2,3,6,1,3,2,1,3,3,2,1,2,3,2,2,1,2,3,4,1,1,2,3,3,3,1,3,3,3,4,3,1,3,4,1,0,1,4,4,4,2,0,0,0,0,0,1,1,0,3,1,,,5,5,16,1,10,,,,,,,,,,,,,,,,,
225,12,2,42,1,2,594,100,1,,,,2,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,5,1,1,,1,2,3,2,2,1,,,,1,,1,4,6,0,7,0,0,1,,,1,,,1,1,1,1,3,2,3,1,2,3,1,1,9,1,1,0,0,38,0,0,0,,,,,,,,,,3,0,0,0,0,1,2,5,0,1,1,,3,3,,1,3,3,3,1,3,1,1,1,1,1,3,3,1,1,4,3,3,3,3,3,3,1,1,3,3,1,3,3,3,3,1,0,1,4,4,7,4,1,0,0,0,2,1,0,0,3,1,,,1,1,14,1,20,,,,,,,,,,,,,,,,,
226,12,2,42,1,2,594,100,1,,,,2,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,5,1,1,,1,2,99,,,2,99,1,,2,2,1,4,0,0,5,0,0,1,,,1,,,0,1,1,3,2,1,1,1,1,1,2,1,1,1,10,0,0,52,0,0,0,2,2,1,,1,,1,2,1,3,2,0,1,99,9,2,99,99,9,1,,1,1,0,3,3,3,1,3,3,1,2,3,1,2,3,4,3,3,4,1,2,2,3,2,2,3,2,3,3,3,3,2,3,4,1,0,1,5,3,4,4,1,0,0,0,2,1,0,0,2,1,,,4,9,13,2,50,,,,,,,,,,,,,,,,,
227,12,2,42,1,1,594,100,1,,,,2,1,2,2,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,0,5,1,1,,1,1,,,,,,,,2,3,1,4,0,0,5,0,0,1,,,1,,,0,1,1,3,2,1,1,1,1,1,3,1,9,1,10,0,0,52,0,0,0,2,2,1,,1,,1,2,1,3,2,0,1,99,9,2,99,99,9,1,,1,1,0,3,3,3,1,3,3,1,2,3,1,2,3,4,3,3,4,1,2,2,3,2,2,3,2,3,3,3,3,2,3,4,1,0,1,5,4,5,4,1,0,0,0,2,1,0,0,2,1,,,4,9,17,1,10,,,,,,,,,,,,,,,,,
229,12,2,42,1,1,804,100,1,,,,1,1,1,2,1,1,2,2,1,3,1,1,1,2,2,1,1,1,1,2,1,1,1,12,3,1,2,5,2,2,21,1,2,1,,,,2,3,5,7,0,0,7,0,0,1,,,2,3,1,3,21,1,3,3,2,1,2,1,1,1,2,9,1,34,12,0,13,25,0,0,1,2,2,1,2,2,1,1,2,3,20,2,5,11,2,4,98,5,2,2,7,2,5,6,3,3,3,1,4,4,4,4,3,3,4,4,3,1,4,4,3,1,3,3,3,1,1,3,3,3,1,3,3,3,2,2,0,1,7,6,6,2,0,0,0,0,2,0,0,0,3,2,6,1,3,4,16,1,10,,,2,2,1,1,1,1,1,1,1,2,1,2,1,1,1
231,5,2,38,1,1,132,100,1,,,,1,1,2,2,1,1,1,2,1,3,1,1,1,1,1,1,1,1,1,0,1,1,1,3,2,1,2,1,2,1,,,,,,,,2,2,,,,,,,,,,,2,5,1,4,7,1,3,3,1,1,2,2,2,3,1,9,2,10,0,0,39,0,0,0,1,1,1,,1,,2,1,2,3,10,0,0,1,2,1,18,0,1,1,,3,1,10,4,3,3,3,4,3,1,1,1,3,1,3,3,1,3,3,3,2,3,2,3,1,1,2,3,3,1,1,3,3,3,1,0,1,3,3,5,2,0,0,0,0,1,1,0,0,3,1,,,5,6,17,1,10,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
232,6,2,30,1,1,594,100,4,3,3,5,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,2,1,1,2,20,1,3,2,8,2,,1,,5,1,0,0,6,0,0,2,14,0,1,,,2,4,1,2,1,2,3,2,3,2,3,1,9,3,10,21,0,0,0,0,1,2,3,1,,1,,2,1,1,3,1,0,0,1,1,3,16,0,1,1,,3,2,0,4,3,3,3,1,3,1,1,3,3,3,1,1,1,3,1,1,2,3,1,1,1,3,3,2,3,1,1,3,3,1,1,0,1,4,4,5,2,0,0,0,0,2,0,0,0,1,1,,,3,1,99,9,99,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
234,15,1,15,1,1,599,100,3,2,3,2,2,1,2,2,1,1,1,1,1,3,1,1,1,1,2,2,1,1,1,2,1,1,1,7,3,2,2,1,1,2,20,1,3,2,4,3,5,1,,5,1,0,0,4,0,0,2,10,0,2,1,1,0,8,1,1,3,2,3,3,3,3,2,1,9,2,4,0,0,13,0,0,0,1,4,2,7,1,,2,1,2,6,20,0,15,99,2,1,91,0,1,1,,3,1,25,3,1,3,1,3,3,3,3,1,1,3,1,1,3,1,1,1,1,3,1,1,3,1,3,3,3,1,3,1,3,3,2,0,2,4,5,5,3,0,0,1,0,0,1,1,0,1,1,,,2,2,12,1,51,,,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1
235,15,1,15,1,1,599,100,3,6,3,3,2,1,2,1,1,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,,1,2,20,1,3,2,6,2,,2,2,3,1,0,0,2,4,7,1,,,1,,,1,4,1,2,3,2,3,1,2,2,2,2,9,2,38,0,0,0,0,0,0,1,2,1,,1,,1,1,2,4,4,999,2,1,2,1,19,0,1,1,,2,3,0,4,1,3,1,1,3,3,2,3,3,2,1,1,2,3,1,1,1,3,2,1,3,3,3,3,3,1,2,3,3,1,1,0,2,6,6,6,4,0,0,0,0,1,1,1,1,1,1,,,1,1,16,1,10,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
236,15,2,15,1,1,599,100,4,6,5,3,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,,1,2,30,1,3,2,5,2,,1,,4,1,3,4,1,4,6,1,,,1,,,3,10,1,2,1,3,1,1,2,2,2,1,9,1,59,0,0,22,0,0,1,1,2,1,,2,5,1,1,2,3,4,3,1,4,2,1,17,0,1,1,,1,1,0,4,1,1,1,2,3,3,2,3,3,3,1,1,1,3,1,1,1,3,2,1,3,3,3,3,3,1,3,3,2,1,2,0,1,4,4,7,4,0,0,0,0,1,1,1,1,1,1,,,1,1,12,9,20,,,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2
238,15,1,15,1,1,838,100,1,,,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,9,2,1,,,,,,,,1,,1,3,6,0,2,0,0,1,,,2,1,2,0,0,1,9,9,1,9,1,1,9,1,9,9,3,38,0,0,13,0,0,0,1,3,1,,2,5,2,1,2,3,5,0,3,99,2,1,23,0,1,1,,1,9,0,2,2,1,9,4,3,1,1,1,3,2,2,1,1,1,1,1,2,3,1,3,1,3,1,2,3,1,3,1,2,1,1,1,1,4,4,4,1,0,0,1,0,0,0,0,0,,2,2,1,1,4,12,2,80,2,,1,1,1,1,1,1,1,1,1,2,2,1,1,2,1
239,15,1,15,1,1,598,100,1,,,,2,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,2,3,1,2,1,1,2,26,1,1,1,,,,2,2,4,3,4,0,7,0,0,1,,,1,,,1,8,1,2,3,1,1,1,1,2,1,2,9,1,0,0,0,21,0,0,0,1,2,2,8,1,,2,1,3,3,4,0,2,1,2,1,21,0,1,2,15,5,1,10,4,3,3,1,3,3,1,1,1,3,3,3,3,4,3,3,2,1,1,3,3,2,1,3,3,3,1,3,3,3,3,2,0,1,4,4,7,4,0,0,0,1,2,1,0,0,2,1,,,5,4,17,2,80,,,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1
241,15,1,15,1,1,594,100,1,,,,2,1,2,1,1,1,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,2,1,1,2,18,1,1,2,2,2,9,1,,5,3,0,0,4,6,0,1,,,2,4,2,2,11,2,1,9,2,1,1,3,1,2,1,9,2,4,2,0,9,0,0,2,1,3,2,8,2,4,1,1,2,3,15,3,6,99,9,1,99,99,9,1,,2,2,0,4,3,3,3,4,3,3,2,3,9,3,3,1,2,3,4,3,1,2,1,1,9,1,3,3,3,3,3,3,3,3,2,6,1,3,3,2,4,0,0,0,0,3,0,1,0,2,1,,,3,2,16,1,30,,,2,1,2,2,1,1,1,1,1,2,1,1,1,2,1
242,15,1,15,1,1,598,100,2,,,,2,1,2,2,1,2,1,2,1,5,1,1,1,1,2,1,1,1,1,1,1,1,1,6,1,1,2,1,1,2,10,1,2,2,99,2,,1,,5,1,3,4,2,4,6,1,,,1,,,1,7,1,1,2,2,2,1,1,2,1,1,9,1,10,23,0,25,1,0,0,2,3,1,,2,3,2,3,2,4,20,5,10,5,2,1,50,0,1,2,29,2,3,6,4,3,3,1,4,4,1,1,4,3,2,3,3,1,3,4,3,3,3,3,3,1,1,1,3,3,1,3,3,3,3,1,0,1,6,4,6,2,0,0,1,1,0,0,0,0,1,1,,,5,1,16,2,80,,,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
243,15,1,15,1,1,599,100,1,,,,2,1,2,1,1,1,2,2,2,5,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,2,17,1,3,2,7,3,9,1,,3,1,0,0,2,4,6,1,,,1,,,6,10,2,1,3,1,2,2,3,2,3,2,9,2,4,18,0,4,0,0,0,1,3,1,,1,,1,1,2,3,10,2,6,2,2,1,11,0,1,2,10,3,2,27,1,3,3,2,2,1,1,1,3,3,1,3,3,1,3,4,1,3,3,1,3,3,1,1,3,3,1,3,3,3,2,1,0,1,3,3,5,2,0,0,0,0,2,0,0,0,3,2,2,1,1,4,17,1,10,1,34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
244,15,1,15,1,1,932,100,4,4,9,5,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,5,1,1,,1,1,,,,,,,,1,,3,4,0,0,4,0,0,1,,,1,,,99,99,1,1,9,1,1,1,1,1,1,1,9,1,0,0,0,0,0,0,99,1,2,1,,1,,1,1,2,3,2,0,0,99,9,2,99,99,9,1,,1,1,0,2,3,3,1,9,1,1,1,2,1,3,3,3,1,3,1,2,1,3,1,2,1,1,3,2,3,1,2,3,3,3,2,0,2,4,4,4,4,0,0,0,0,1,0,3,0,3,1,,,3,9,16,1,20,,,,,,,,,,,,,,,,,
245,15,1,15,1,1,974,100,1,,,,2,1,2,1,1,1,1,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,0,5,1,2,1,2,2,14,1,3,1,,,,1,,4,3,0,0,6,0,0,1,,,2,2,3,4,6,1,2,3,2,3,1,2,1,2,1,9,2,10,0,0,21,0,0,97,,,,,,,,,,3,7,1,3,0,2,1,11,0,1,9,99,9,2,0,4,9,3,2,4,3,4,4,3,2,3,3,3,4,3,4,3,1,3,3,2,2,1,2,3,3,1,3,3,3,3,2,0,1,4,4,4,3,0,1,0,0,0,1,0,0,1,1,,,5,4,13,1,50,,,,,,,,,,,,,,,,,
247,15,1,15,1,1,945,100,2,20,4,2,2,1,2,2,1,2,2,2,1,6,1,2,1,1,2,1,1,1,1,2,1,1,1,5,1,2,1,,1,2,30,3,3,2,1,2,,2,1,,,,,,,,,,,1,,,1,5,1,1,3,1,2,1,2,2,3,1,9,1,4,69,0,0,0,0,0,1,1,1,,1,,1,1,1,3,20,0,5,4,2,1,39,0,1,1,,1,1,0,3,1,3,2,2,3,2,1,3,1,1,1,3,1,3,4,3,1,3,1,2,2,1,2,2,2,9,1,3,3,2,1,0,2,5,4,6,9,2,0,0,0,0,1,1,0,1,1,,,6,6,17,1,10,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
248,15,1,15,1,1,599,100,1,,,,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,0,5,1,2,9,1,1,,,,,,,,2,2,,,,,,,,,,,2,1,2,1,1,1,3,3,1,2,1,3,1,2,1,3,1,10,1,0,4,0,0,3,,,,,,,,,,3,3,0,2,0,2,1,22,0,1,1,,2,1,0,4,3,3,2,4,3,4,4,3,2,2,3,3,1,3,3,3,2,3,3,3,3,1,1,3,3,1,3,3,3,3,1,1,1,9,4,6,6,1,1,0,0,2,2,0,0,2,2,1,1,4,4,16,1,82,,,,,,,,,,,,,,,,,
249,13,1,10,1,1,462,100,1,,,,2,1,2,2,1,1,1,2,1,4,1,1,1,2,2,1,1,1,1,2,1,1,1,4,3,1,2,2,2,2,19,1,1,1,,,,2,2,,,,,,,,,,,2,1,1,4,18,1,2,3,1,1,1,2,1,2,2,9,2,19,0,0,23,0,0,0,2,4,2,3,2,2,2,1,2,3,11,0,4,3,2,1,33,0,1,1,,3,2,10,4,3,3,1,4,3,1,1,3,2,2,3,3,4,3,3,3,1,3,1,3,3,1,3,3,3,1,3,2,3,3,1,0,3,3,3,5,3,0,0,3,0,0,0,0,0,2,1,,,6,1,17,2,80,,35,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1
250,13,1,10,1,1,986,100,1,,,,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,5,3,1,2,1,2,2,22,1,1,1,,,,1,,2,3,4,0,6,7,0,2,15,0,2,1,2,5,16,1,2,3,2,1,1,3,1,2,1,9,2,10,23,20,4,31,13,1,2,3,1,,2,3,1,1,2,5,27,4,20,3,2,1,21,1,1,2,14,3,2,10,4,2,3,1,3,3,4,1,2,2,3,3,3,1,3,3,3,2,3,1,2,3,1,1,3,3,1,3,3,3,3,1,22,1,4,2,4,2,0,0,0,0,1,1,0,0,1,2,5,1,4,2,13,1,81,,16,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
253,13,1,10,1,1,597,100,2,9,2,4,2,1,1,1,1,2,2,2,1,4,1,1,1,1,2,1,1,1,1,1,1,1,1,5,1,3,2,9,1,2,18,1,3,2,1,2,3,1,,5,4,0,0,6,7,0,2,3,0,2,3,3,1,6,1,1,3,1,3,2,3,3,2,2,9,1,1,4,21,1,0,0,0,1,4,2,3,1,,1,1,2,4,9,3,6,5,2,1,55,4,2,2,13,1,1,0,3,3,2,2,2,2,2,2,2,2,2,2,1,2,1,2,1,3,1,1,1,2,1,3,3,3,1,2,3,3,2,1,0,2,4,4,5,4,0,0,0,0,4,0,0,0,2,1,,,4,4,17,1,10,,,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1
254,13,1,10,1,1,917,100,2,13,1,9,2,1,2,1,1,2,2,2,1,5,1,1,1,2,2,1,1,1,1,2,1,1,1,7,1,1,2,1,1,1,,,,,,,,2,2,,,,,,,,,,,1,,,1,99,1,1,3,1,3,1,2,2,2,1,9,1,4,0,0,38,0,0,0,1,1,1,,1,,1,1,2,3,1,0,0,99,2,1,99,99,9,1,,1,1,0,1,4,3,3,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,3,1,3,1,3,3,1,3,3,3,3,2,0,2,7,7,7,13,6,1,2,0,4,0,0,0,2,1,,,6,6,14,2,80,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
255,13,1,10,1,1,626,100,1,,,,2,1,2,1,1,1,2,2,2,5,1,1,1,1,2,2,1,1,1,2,1,1,1,6,3,1,2,3,1,1,,,,,,,,1,,2,3,0,0,6,7,0,2,15,0,1,,,1,7,1,1,3,2,2,1,2,2,2,2,1,1,4,10,5,1,25,0,0,2,4,1,,2,3,2,1,3,4,18,1,10,6,2,1,92,0,2,2,12,3,4,20,4,3,2,2,1,3,1,1,3,1,4,2,4,1,3,4,3,1,3,1,3,1,1,1,3,3,1,3,3,3,2,2,0,1,7,4,7,3,0,0,3,0,0,0,0,0,3,2,8,2,4,4,17,2,80,,,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1
256,13,1,10,1,1,803,100,3,3,1,,1,1,2,2,1,1,1,2,1,3,1,1,1,1,2,2,1,1,1,2,1,1,1,0,5,9,2,2,2,2,25,1,1,1,,,,1,,2,3,4,0,1,2,0,1,,,1,,,2,4,1,3,3,1,2,1,2,2,3,2,9,2,10,33,0,31,0,0,99,9,9,9,9,9,9,9,9,9,6,4,3,4,0,2,1,11,0,1,1,,2,2,0,4,3,3,4,4,3,1,1,4,2,2,4,3,1,3,3,4,2,2,3,4,1,1,4,3,3,2,3,2,3,4,1,0,2,3,3,3,3,0,0,0,1,1,1,0,0,1,2,1,2,5,5,16,1,41,,,,,,,,,,,,,,,,,
257,13,1,10,1,1,598,100,1,,,,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,0,1,1,1,2,1,1,2,1,1,1,,,,,,,,1,,2,4,0,0,1,0,0,1,,,2,1,1,1,2,1,2,3,2,2,1,1,1,1,1,9,1,0,0,0,0,0,0,2,2,2,1,,1,,1,1,2,3,2,1,0,99,9,1,99,99,9,1,,2,2,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9,9,9,9,3,3,3,3,1,0,2,5,6,5,5,0,0,2,0,3,0,0,0,3,1,,,6,6,12,2,80,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
258,13,1,10,1,1,507,100,1,,,,2,1,2,1,1,1,2,1,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,6,3,1,2,2,2,1,,,,,,,,1,,5,1,12,0,4,0,0,2,15,0,1,,,2,11,1,2,3,2,2,2,3,3,2,3,1,1,10,0,0,25,0,0,0,2,2,2,8,1,,2,1,2,4,15,4,6,99,2,1,21,0,1,2,11,3,3,0,4,3,3,2,3,3,2,1,1,3,1,3,3,3,3,3,3,1,3,3,3,3,1,3,3,3,1,3,3,3,3,1,0,1,7,7,7,2,0,0,2,0,0,0,0,0,3,1,,,4,5,12,2,80,,,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1
260,13,1,10,1,1,599,100,1,,,,1,1,2,1,1,1,2,2,1,3,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,2,1,1,1,,,3,,,,,2,2,,,,,,,,,,,1,,1,2,4,1,2,2,1,1,1,1,1,1,1,1,1,1,10,13,0,0,0,0,2,4,1,,2,5,2,1,2,4,4,0,1,1,2,1,11,0,1,1,,2,1,0,4,3,3,3,1,4,4,1,3,9,1,3,1,1,3,2,3,9,2,1,3,1,1,1,3,3,1,3,1,3,2,1,0,1,5,5,5,2,0,0,0,0,1,1,0,0,1,1,,,9,4,12,1,51,1,,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2
261,14,1,5,1,1,990,100,4,7,1,6,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,6,3,1,2,1,1,2,36,3,1,2,1,2,,2,2,4,3,0,0,5,0,0,1,,,2,1,3,1,6,1,9,9,1,9,1,2,1,1,1,9,2,50,57,0,10,0,0,0,1,3,2,,2,5,2,1,2,3,999,0,999,6,2,1,61,0,1,1,,1,1,0,1,3,3,3,1,3,1,1,1,3,1,1,1,1,3,1,3,1,3,1,3,1,1,3,3,3,1,3,3,3,3,1,0,1,5,6,6,5,2,0,0,0,2,1,0,0,2,1,,,5,1,17,1,41,,,2,1,1,1,1,1,1,2,1,2,2,2,2,1,1
262,14,1,5,1,2,452,100,5,15,5,7,2,1,2,2,1,1,2,2,1,5,1,1,1,1,2,1,1,1,1,1,1,1,1,7,6,2,2,9,1,2,15,2,3,2,4,2,3,2,1,,,,,,,,,,,2,3,1,1,8,1,1,9,2,2,1,2,2,2,1,9,1,4,0,0,25,0,0,2,2,2,2,1,1,,1,1,2,3,10,1,6,4,2,1,79,0,1,1,,2,2,0,2,3,3,2,2,3,4,1,2,3,1,1,4,1,3,4,3,3,4,1,4,1,3,1,3,9,1,1,3,3,1,2,16,1,5,3,7,10,0,0,0,0,8,3,2,1,2,2,1,1,5,5,17,2,80,,,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1
263,14,1,5,1,2,452,100,4,16,2,4,2,1,2,2,1,1,2,2,1,5,1,1,1,1,2,1,1,1,1,1,1,1,1,5,1,2,2,7,2,2,15,2,3,2,1,2,,2,1,,,,,,,,,,,1,,,1,8,1,2,3,1,1,1,1,1,1,1,9,1,10,15,0,38,0,0,0,1,4,1,,1,,2,1,2,3,7,1,3,99,9,1,99,99,9,1,,1,1,0,2,3,3,1,4,3,4,1,4,3,4,3,3,1,4,4,2,3,4,3,3,1,3,4,3,3,1,3,3,3,4,2,0,1,7,4,7,9,0,0,1,1,4,1,1,1,2,2,1,2,2,5,17,1,10,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
264,14,1,5,1,1,452,100,4,14,5,7,2,1,2,2,1,1,2,2,1,5,1,1,1,2,2,1,1,1,1,2,1,1,1,8,3,2,2,9,1,2,15,2,3,2,3,2,3,2,3,,,,,,,,,,,2,3,1,2,10,1,1,9,1,2,1,2,2,2,2,9,2,15,0,0,0,0,0,0,1,2,1,,1,,1,1,2,4,10,2,2,4,2,1,92,0,1,1,,3,2,17,3,9,3,1,3,3,1,1,1,3,3,3,2,1,3,2,3,3,2,2,3,1,1,1,3,3,2,3,3,3,3,2,0,2,4,3,6,9,0,0,1,1,4,1,1,1,2,2,7,3,5,5,17,1,10,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
265,14,1,5,1,1,598,100,1,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,5,1,1,,1,2,7,2,2,2,20,2,,1,,5,1,0,0,4,6,0,1,,,1,,,4,4,2,1,3,1,2,1,3,1,3,1,9,1,4,0,0,0,0,0,0,,,,,,,,,,4,1,0,1,0,1,1,22,0,1,1,,2,2,0,2,2,3,2,1,3,1,1,3,1,3,3,4,1,3,1,3,3,1,1,3,1,4,3,1,3,1,3,1,3,3,1,0,1,4,4,5,1,0,0,0,0,0,0,1,0,,1,,,2,4,8,1,50,,,,,,,,,,,,,,,,,
266,14,1,5,1,1,598,100,1,,,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,5,1,1,,1,2,99,2,2,2,20,3,9,1,,5,1,0,0,4,6,0,1,,,1,,,1,1,1,1,9,1,1,9,9,9,9,9,9,1,4,0,0,9,0,0,99,,,,,,,,,,5,999,999,999,0,1,1,12,0,1,2,,2,2,0,4,3,3,2,3,3,2,1,3,1,3,3,4,2,3,2,3,1,3,3,3,3,3,3,3,3,2,3,1,1,1,1,0,2,4,4,5,2,0,0,1,0,0,0,1,0,1,1,,,3,9,8,1,51,,156,,,,,,,,,,,,,,,
